"Number","Cushion number","Length","Width","Surface","S cumulée","Agrostis","Apiacees","Arabis","Carex","Cerastium","Crucif Jaune","Elymus","Grass cap","Grosse Rosette","Koel","Mertensia","Rubiacee","Saxifraga","Senecio","Silene","Solidago","Thlaspi"
5,"Cushion",24,10,240,2161,0,4,2,0,3,0,9,3,0,0,0,2,0,0,3,0,0
5,"open",24,10,240,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0
14,"Cushion",22,11,242,2403,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
14,"open",22,11,242,,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0
34,"Cushion",19,13,247,2650,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,"open",19,13,247,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Cushion",28,9,252,2902,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
19,"open",28,9,252,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Cushion",17,15,255,3157,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
17,"open",17,15,255,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"Cushion",20,15,300,3457,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
61,"open",20,15,300,,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0
2,"Cushion",26,12,312,3769,0,7,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2,"open",26,12,312,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,"Cushion",23,14,322,4091,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0
18,"open",23,14,322,,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0
33,"Cushion",22,15,330,4421,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"open",22,15,330,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"Cushion",30,12,360,4781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"open",30,12,360,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"Cushion",30,13,390,5171,0,0,1,0,1,0,1,1,0,2,0,5,0,0,2,0,0
58,"open",30,13,390,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"Cushion",41,10,410,5581,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
74,"open",41,10,410,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,"Cushion",21,20,420,6001,1,0,1,0,1,0,2,0,0,0,0,1,0,3,0,0,0
65,"open",21,20,420,,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0
30,"Cushion",23,19,437,6438,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
30,"open",23,19,437,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Cushion",21,21,441,6879,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
36,"open",21,21,441,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"Cushion",31,15,465,7344,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
75,"open",31,15,465,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"Cushion",40,12,480,7824,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,"open",40,12,480,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,"Cushion",33,15,495,8319,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
76,"open",33,15,495,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"Cushion",27,20,540,8859,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
53,"open",27,20,540,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Cushion",28,20,560,9419,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0
15,"open",28,20,560,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"Cushion",33,17,561,9980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"open",33,17,561,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Cushion",29,20,580,10560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"open",29,20,580,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Cushion",33,18,594,11154,0,0,3,0,0,0,1,0,0,2,0,1,0,0,0,0,0
31,"open",33,18,594,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"Cushion",26,23,598,11752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"open",26,23,598,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,"Cushion",40,15,600,12352,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
19,"open",40,15,600,,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0
62,"Cushion",40,15,600,12952,0,1,1,0,0,0,1,2,0,3,0,0,0,0,0,0,0
62,"open",40,15,600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"Cushion",30,20,600,13552,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
66,"open",30,20,600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"Cushion",28,23,644,14196,1,0,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0
50,"open",28,23,644,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
60,"Cushion",26,25,650,14846,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
60,"open",26,25,650,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
55,"Cushion",30,22,660,15506,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
55,"open",30,22,660,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Cushion",28,24,672,16178,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
38,"open",28,24,672,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Cushion",27,25,675,16853,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0
29,"open",27,25,675,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Cushion",30,25,750,17603,0,6,10,0,3,0,9,4,0,2,0,0,0,1,0,1,0
10,"open",30,25,750,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Cushion",46,17,782,18385,0,0,3,0,0,0,3,0,1,1,0,1,3,0,0,0,0
28,"open",46,17,782,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Cushion",34,25,850,19235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"open",34,25,850,,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
73,"Cushion",50,17,850,20085,0,0,2,0,0,0,8,0,0,0,0,2,0,1,0,0,0
73,"open",50,17,850,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
48,"Cushion",45,20,900,20985,0,0,1,0,0,0,2,0,0,3,0,1,0,0,0,0,0
48,"open",45,20,900,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Cushion",37,25,925,21910,0,2,4,0,0,0,3,3,0,0,0,3,0,0,0,0,0
11,"open",37,25,925,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Cushion",33,30,990,22900,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
20,"open",33,30,990,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
25,"Cushion",38,27,1026,23926,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
25,"open",38,27,1026,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Cushion",42,25,1050,24976,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0
54,"open",42,25,1050,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Cushion",44,24,1056,26032,0,0,5,0,10,0,11,0,0,0,0,6,0,1,0,0,0
1,"open",44,24,1056,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Cushion",50,27,1350,27382,0,0,4,0,0,1,5,3,0,0,0,20,0,0,0,0,0
12,"open",50,27,1350,,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0
16,"Cushion",50,28,1400,28782,2,0,0,0,3,0,12,1,0,2,0,4,0,0,0,0,0
16,"open",50,28,1400,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
72,"Cushion",46,32,1472,30254,0,15,2,4,2,0,7,0,4,2,0,1,0,1,0,0,0
72,"open",46,32,1472,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Cushion",50,30,1500,31754,1,0,3,0,0,0,5,4,0,0,0,2,0,0,0,0,0
56,"open",50,30,1500,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,"Cushion",40,38,1520,33274,0,0,6,0,1,0,4,0,0,1,0,0,0,0,0,0,0
40,"open",40,38,1520,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0
41,"Cushion",61,25,1525,34799,0,1,2,0,0,0,10,1,0,0,0,5,0,0,0,0,0
41,"open",61,25,1525,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Cushion",55,28,1540,36339,0,0,0,0,0,0,4,1,0,1,0,0,0,1,0,0,0
13,"open",55,28,1540,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Cushion",52,30,1560,37899,0,0,4,0,2,0,8,0,0,0,0,2,0,0,0,0,0
6,"open",52,30,1560,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
46,"Cushion",50,33,1650,39549,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
46,"open",50,33,1650,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"Cushion",48,35,1680,41229,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
43,"open",48,35,1680,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Cushion",50,35,1750,42979,0,0,1,0,0,0,4,1,0,1,0,1,0,1,0,0,0
8,"open",50,35,1750,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
71,"Cushion",60,30,1800,44779,0,10,0,0,4,0,6,9,0,2,0,5,0,0,0,0,0
71,"open",60,30,1800,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Cushion",55,38,2090,46869,0,0,4,0,0,0,5,2,0,0,0,2,0,0,0,0,0
21,"open",55,38,2090,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"Cushion",70,30,2100,48969,3,15,4,0,2,0,2,5,0,4,0,7,0,0,0,0,0
64,"open",70,30,2100,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
78,"Cushion",54,40,2160,51129,0,5,0,0,5,0,8,3,0,0,0,2,0,8,0,0,0
78,"open",54,40,2160,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
80,"Cushion",58,39,2262,53391,1,10,1,2,0,0,5,4,0,1,0,5,0,0,0,0,0
80,"open",58,39,2262,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
67,"Cushion",60,45,2700,56091,12,15,2,2,3,0,5,8,0,4,0,1,0,0,0,0,0
67,"open",60,45,2700,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"Cushion",72,42,3024,59115,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
39,"open",72,42,3024,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,"Cushion",72,65,4680,63795,2,0,2,0,0,0,3,0,0,1,0,3,0,0,0,0,0
44,"open",72,65,4680,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"Cushion",110,45,4950,68745,1,0,1,0,1,0,1,1,0,3,0,5,0,0,0,0,0
59,"open",110,45,4950,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
