Site045,Astragalus_zachlensis,sample,cushion.open,Acantholimon_sp,Alyssum_sp,ApiUnk2_sp,Bromus_sp,CaryUnk_sp,Centaurea_sp,Cerastium_sp1,Cirsium_sp,Crepis_sp1,Festuca_sp2,Galium_sp,Lactuca_sp,Leontodon_sp,Leuzea_sp,LilUnk_sp,Linaria_sp,Marrubium_sp,Prunus_sp,RanUnk_sp,ScrophUnk_sp,Senecio_sp3,Senecio_sp4,Taraxacum_sp,Tulipa_sp,Viola_sp
,,13,open,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,14,open,0,0,0,0,0,28,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,15,open,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,16,open,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,17,open,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18,open,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,19,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,20,open,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
,,21,open,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
,,22,open,0,1,4,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,open,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,24,open,0,3,0,5,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
,,25,open,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0
,,26,open,0,3,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,27,open,0,20,0,45,0,5,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
,,28,open,0,0,0,15,0,0,6,0,0,0,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0
,,29,open,0,4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
,,30,open,0,0,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
,,31,open,1,0,4,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0
,,32,open,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,33,open,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,34,open,0,10,8,7,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,,35,open,0,5,0,8,2,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,1,0,0
,,36,open,0,8,4,5,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0
,,37,open,0,0,0,10,0,0,2,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0
,,38,open,0,3,1,12,0,5,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,39,open,0,0,4,35,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0
,,40,open,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
,,41,open,0,8,8,1,0,0,5,0,0,0,25,0,0,0,1,0,5,0,0,0,0,0,0,0,0
,,42,open,1,1,0,57,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,43,open,0,0,10,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0
,,44,open,0,0,3,3,0,0,5,2,0,0,0,0,0,3,1,0,2,0,0,1,0,0,0,0,0
,,45,open,0,15,0,10,13,0,8,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
,,46,open,0,0,0,0,0,45,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,47,open,0,0,2,45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,48,open,0,0,10,5,0,0,3,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,49,open,0,0,5,8,0,8,8,0,0,10,20,0,0,0,0,0,6,0,0,1,0,0,0,0,0
,,50,open,0,10,15,0,0,8,7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
,,51,open,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
,,52,open,0,3,6,3,0,0,3,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0
,,53,open,0,0,3,40,0,19,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
,,54,open,0,20,10,50,0,0,10,0,0,8,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0
,,55,open,0,10,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,4,0
,,56,open,1,1,0,30,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
,,57,open,0,0,7,1,0,0,3,1,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0
,,58,open,0,0,0,1,0,2,1,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
,,59,open,0,0,8,70,0,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
,,60,open,0,0,10,8,0,1,20,4,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0
