Site058,Azorella_madreporica,sample,cushion.open,Barneoudia_major,Bromus_setifolius,Calandrinia_affinis,Carex_sp1,Cerastium_arvense,Chaetanthera_lycopodioides,Erigeron_andicola,Festuca_magellanica,Hordeum_comosum,Hypochaeris_tenuifolia,Loasa_sigmoidea,Nassauvia_lagascae,Nassauvia_pyramidalis,Nastanthus_agglomeratus,Olsynium_scirpoideum,Oxalis_compacta,Perezia_carthamoides,Perezia_pilifera,Phacelia_secunda,Poa_alopecurus,Pozoa_coriacea,Rytidosperma_violaceum,Senecio_looseri,Taraxacum_officinale,Thlaspi_magellanicum,Trisetum_preslei,Tropaeolum_polyphyllum,Viola_atropurpurea,Viola_philippii
,,56,cushion,,,,,5,,,1,,,,,,,,,,,,3,,,,,,,,,
,,57,cushion,,,,,12,,1,,,,,,,1,,,,,,1,,,,1,,4,,,
,,58,cushion,,,,,6,,1,1,,1,,,,,,,,2,,16,,,,,,6,,,
,,59,cushion,1,,,,6,,,,5,,2,,,2,,,,1,,,,,,,,1,,,
,,60,cushion,,,,,72,,1,,2,,,,,,,,,,,,,1,,1,,,,,
,,61,cushion,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
,,62,cushion,,,,,6,,,,,,1,,,,,,,,,,,,,,,,,,
,,63,cushion,,,,,2,,,,1,,2,,,,,,,,,,,,,,,,,,
,,64,cushion,,,,,4,,,,,,,,,,,,,,,5,,,,1,,,,,
,,65,cushion,,,,,11,,,,1,,,,,,,,,,,3,,,,,,,,,
,,66,cushion,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
,,67,cushion,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,68,cushion,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,69,cushion,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70,cushion,,,,,17,,,,1,,,,,,,,,,,1,,,,,,,,,
,,71,cushion,,,,,19,,,2,,,1,,,,,,,,,,,,,,,,,,
,,72,cushion,,,,,36,,,,2,,,,1,,,,,,,,,,,,,,,,
,,73,cushion,,,,1,,,1,2,,,,,,,,,,,,,,,,,,1,,,
,,74,cushion,,,,,9,,,,,,2,,,,,,,,,7,,,,,,,,,
,,75,cushion,,,,,41,,,,2,2,,,,,,,,,,3,,,,2,,,,,
,,76,cushion,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,77,cushion,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
,,78,cushion,,,,,7,,,,1,,,,,,,,,,,,,,,,,,,,
,,79,cushion,,,,,32,,,3,,,,,,,,,,,,1,,,,,,,,,
,,80,cushion,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
,,81,cushion,,,,,21,,,2,,,2,,,,,,,,,,,,,,,,,,
,,82,cushion,,,,,,,1,,,,1,,,,,,,,,1,,,,,1,,,,
,,83,cushion,,,,,46,,,,,,1,,,,,,,,,,,,,1,,,,,
,,84,cushion,1,,,,38,,,,2,,,,,,,,3,,,5,,,,,,,,,
,,85,cushion,,,,,17,,,,2,,1,,,1,,,,,,6,,,,1,,,,,
,,86,cushion,,,1,,76,,,2,2,,2,,,3,,,,,,27,,,,1,,,,,
,,87,cushion,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,88,cushion,,,,,33,,1,,4,,,,,,,,,,,,,,,,,,,,
,,89,cushion,,,,,39,,,,1,,,,,,,,,,,,,,,,,,,,
,,90,cushion,,,,1,,,1,,,,1,,,,,,,,,9,,,,,,,,,
,,91,cushion,1,,,,115,,3,2,5,1,2,,1,,,,,1,,6,,,2,,,1,,,
,,92,cushion,,,,,64,,4,17,4,,1,,,,1,,,3,,3,,1,,,,,,,
,,93,cushion,,,,,21,,,,,,,,,,,,,,,,,,,,1,,,,
,,94,cushion,,,,,53,,,1,4,,,,,2,,,,,,1,,,,3,,,,,
,,95,cushion,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
,,96,cushion,,,,,97,,3,4,5,,3,,,,,,,9,,,,,,4,,3,,,
,,97,cushion,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,
,,98,cushion,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
,,99,cushion,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,100,cushion,,,,,14,,,,3,,,,,,,,,,,6,,,,1,,,,,
,,1,open,,,,,,,,,3,,2,2,,,,,,,1,,,,,,,,,,
,,2,open,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
,,3,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,open,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,
,,5,open,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,6,open,,,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,
,,7,open,1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,
,,8,open,,,,,,,,,4,,2,,,,,,,,,,,,,1,,,,,
,,9,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,10,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,open,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,
,,12,open,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,
,,13,open,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
,,14,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,open,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,6,
,,16,open,,,,,,,1,,2,,4,1,,,,,,,1,,2,,,,,,,3,
,,17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,open,,,,,,1,,,3,,3,,,,,,,,,,,,,,,,,6,
,,19,open,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
,,20,open,,,,,,2,,,2,,1,,1,,,,,,,,,,,,,,,1,
,,21,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,open,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
,,23,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,open,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,25,open,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,26,open,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,
,,27,open,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,
,,28,open,,,,,,,,,1,,1,,1,,,,,,,,1,,,,,,,,
,,29,open,,,,,,,1,,,,,,,,,1,,,,6,,,,,,,,,
,,30,open,,,,,,,,,,,,,,,,,,,1,3,1,,,,,,,2,
,,31,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,open,,,,,,,,,1,,,,1,,,,,,,3,,,,,,,,,
,,33,open,1,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,
,,34,open,,,,,,,,,,,,2,,,,,,,,7,1,,,,,,,,
,,35,open,,,,,,1,,,1,,4,,,,,1,,,,1,1,,,,,,,1,
,,36,open,,,,,,,,,2,,1,,,,,1,,,1,,,,,,,,2,,
,,37,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,open,,,,,5,1,,,,,1,3,,,,,,,,,,,,,,,,,
,,39,open,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
,,40,open,,,,,23,,,,3,,1,,,,,,,,,,,1,,,,,,,
,,41,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42,open,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,
,,43,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44,open,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,
,,45,open,,,,,,2,,,3,,1,1,,,,,,,,,,,,,,,,,1
,,46,open,,,,,,6,,,2,,,,,,,,,,,,,,,,,,,,
,,47,open,,,,,,2,,,5,,,,,,,,,,,,1,,,,,,,,
,,48,open,,,,,,4,,,4,,2,1,,,,,,,,,,,,,,,,,1
,,49,open,,,,,,6,,,3,,1,,,,,,,,,,1,,,,,,,,1
,,50,open,,,,,,5,,,3,,1,,,,,,,,,,,,,,,,,,
,,51,open,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,
,,52,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53,open,,,,,2,,,,5,,1,,,,,,,,,,,1,,,,,,,
,,54,open,,,,,,1,,,3,,,2,,,,,,,,,,,,,,,,,
,,55,open,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,
,,56,open,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,
,,57,open,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,
,,58,open,,,,,5,2,,,3,,,,,,,,,,,,,,,,,,,,
,,59,open,,,,,,3,,,2,,1,1,,,,,,,,,,,,,,,,,
,,60,open,,,,,,3,,,2,,1,,1,,,,,,,,,,,,,,,,
,,61,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,64,open,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
,,65,open,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
,,66,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,68,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,69,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70,open,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,
,,71,open,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,72,open,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,
,,73,open,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
,,74,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,75,open,,,,,,,,,,,2,,,,,,,,,6,,,,,,,,1,
,,76,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,77,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,78,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79,open,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,1
,,80,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,81,open,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,82,open,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,
,,83,open,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,
,,84,open,,,,,,,,,1,,1,,1,,,,,,,,1,,,,,,,,
,,85,open,,,,,,,1,,,,,,,,,1,,,,6,,,,,,,,,
,,86,open,,,,,,,,,,,,,,,,,,,1,3,1,,,,,,,2,
,,87,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,88,open,,,,,,,,,1,,,,1,,,,,,,3,,,,,,,,,1
,,89,open,1,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,
,,90,open,,,,,,,,,,,,2,,,,,,,,7,1,,,,,,,,
,,91,open,,,,,,1,,,1,,4,,,,,1,,,,1,1,,,,,,,1,
,,92,open,,,,,,,,,2,,1,,,,,1,,,1,,,,,,,,2,,
,,93,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,94,open,,,,,5,1,,,,,1,3,,,,,,,,,,,,,,,,,
,,95,open,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1
,,96,open,,,,,23,,,,3,,1,,,,,,,,,,,1,,,,,,,
,,97,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,98,open,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,
,,99,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100,open,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,
