Site039,Geum_rossii,sample,cushion.open,Agrostis_sp,Arabis_glabra,Carex_sp3,Cerastium_beeringianum,Elymus_sp1,Festuca_ovina,Agropyron_scribneri,Polemonium_viscosum,Saxifraga_sp1
,,62,cushion,,,,,1,5,2,,
,,63,cushion,,,,,,,1,,
,,64,cushion,,3,,,,6,1,8,
,,65,cushion,,2,,,6,26,1,1,
,,66,cushion,1,,,,,3,,,
,,67,cushion,,2,,1,,4,,1,
,,68,cushion,,,,1,,2,,3,
,,69,cushion,,,,,6,,,,
,,70,cushion,,1,,,,1,1,3,
,,71,cushion,,2,4,5,,6,,,
,,72,cushion,,,,,2,2,3,4,
,,73,cushion,,,,,10,,,3,
,,74,cushion,,,1,2,,5,1,6,
,,75,cushion,,,,,,2,3,2,
,,76,cushion,,,,,8,,,,1
,,77,cushion,,,,,6,1,,,
,,78,cushion,,1,5,,,7,,6,
,,79,cushion,,1,,,4,3,2,3,
,,80,cushion,,,,5,,1,3,,
,,1,open,,,,,,,,,
,,2,open,,1,,,,,,,
,,3,open,,,,,,,,,
,,4,open,,,,,,,5,1,
,,5,open,,,,,,,,,
,,6,open,,,,,,,,,
,,7,open,,,,,,,,,
,,8,open,,,,,,,,,
,,9,open,,,,,,,,,
,,10,open,,,,,,,,,
,,11,open,,,,,,,,3,
,,12,open,,,,,,,,,
,,13,open,,,4,,,1,1,,
,,14,open,,,,,,,,,
,,15,open,,,,,,,,,
,,16,open,,,,,,,,,
,,17,open,,,,,,,,,
,,18,open,,,,,,,,,
,,19,open,,,,,,,,,
,,20,open,,,,,,,,,
,,21,open,,,,,,,,,
,,22,open,,,,,,,,,
,,23,open,,,,,1,,,,
,,24,open,,,,,,,,,
,,25,open,,,,,,,,10,
,,26,open,,,,,,,,,
,,27,open,,,,,,,,,
,,28,open,,,,,,,,,
,,29,open,,,,1,,1,,1,
,,30,open,,,,,,,,,
,,31,open,,,,,,,,,
,,32,open,,,,,,,,,
,,33,open,,1,,,,4,1,,
,,34,open,,,,,,,,,
,,35,open,,,,,,,,,
,,36,open,,,,,,,,,
,,37,open,,,,1,,,,,
,,38,open,,,,,,,,,
,,39,open,,,,,,,,,
,,40,open,,,,,,,,,
,,41,open,,,,,,1,,,
,,42,open,,,,,,,,,
,,43,open,,,,,,,,,
,,44,open,,,,,,3,,4,
,,45,open,,,,,,,,,
,,46,open,,,,,,,,2,
,,47,open,,,,,,,,8,
,,48,open,,,,,,,,,
,,49,open,,,,,,,,,
,,50,open,,,,,,,,,
,,51,open,,,,,,,,,
,,52,open,,,,,,,,,
,,53,open,,,,,,,,,
,,54,open,,,,,,,,,
,,55,open,,,,,,,,,
,,56,open,,,,,,,,,
,,57,open,,,,,1,4,,6,
,,58,open,,,,,,,,,
,,59,open,,,,,,,,,
,,60,open,,,,,,,,,
,,61,open,,,,,,,,,
,,62,open,,,,,,,,,
,,63,open,,,,,,,,,
,,64,open,,,,,,1,,,
,,65,open,,,,,7,,,10,
,,66,open,,,,,,,,,
,,67,open,,,,,,,,2,
,,68,open,,,,,,,,,
,,69,open,,,,,,,,,
,,70,open,,,,,,,,,
,,71,open,,,,,,,,,
,,72,open,1,,,,,,,1,
,,73,open,,,,,3,,,,
,,74,open,,,,,,,,,
,,75,open,,,,,,,,,
,,76,open,,,,,2,,,,
,,77,open,,,,,,,,3,
,,78,open,,,,,,,,,
,,79,open,,,,,,,,,
,,80,open,,,,,,,,,
