Site085,Astragalus_sp,sample,cushion.open,Acronema_sp,Anaphalis_contorta,Androsace_sermentosa,Arasaema_jaqmontii,Artemisia_gmelinii,Aster_himailacus,Avena_fatua,Bistorta_vivipara,Calamagrostis_pseudophragmites,Carex_sp13,Cortia_depressa,Cyananthus_himalaicus,Cyananthus_microphyllus,Cyperus_sp,Deyeuxia_scabrescens,Dubyaea_hispida,Elsholtzia_eriostachya,Epilobium_cylindricum,Eritrichium_nanum,Euphorbia_stracheyi,Gentiana_depressa,Gentiana_ornata,Gentianella_falcata,Geranium_donianum,Gerbera_nivea,Herminium_macrophyllum,Juncus_thomsonii,Leontopodium_jocacianum,Morina_nepalensis,Neottianthe_calcicola,Nepeta_lamiopsis,Parnassia_nubicola,Pedicularis_roylei,Pedicularis_siphonantha,Polygonatum_sp,Potentilla_microphylla,Potentilla_multifida,Potentilla_sp2,Rhodiola_fastigiata,Saxifraga_brachypoda,Saxifraga_moorcroftiana,Sedum_sp2,Silene_gonosperma,Stellaria_patens,Swertia_ciliata,Thalictrum_alpinum,Themeda_trianda,Veronica_ciliata,Veronica_himalaica,Veronica_sp1,Viola_biflora
,,51,cushion,,6,11,,,,,,48,,,,,14,40,2,,,,,,,,,,,,43,,,,4,,,,,,,,3,7,7,,,,,11,1,,,
,,52,cushion,,47,22,,,,5,,16,,,,,30,15,14,,,,,,,,,,,,19,,,,,,,,,2,,,,18,,1,,,,11,5,,,
,,53,cushion,1,38,11,,,,,,58,,,,,,15,3,,,2,,,,,,,,,3,,,,,,,,,2,,,,11,,3,,,,2,6,,,
,,54,cushion,,8,27,,,,,,47,,,,,7,35,,,,4,,18,,2,,,12,,,,,,,,,5,,,,,7,11,4,,,3,,,,,,
,,55,cushion,,22,23,,,,,,41,,,,2,25,36,3,,,,,97,,,,2,15,7,5,,,,9,,,,,1,,,,19,,3,,,,4,,,,
,,56,cushion,,24,37,,,,9,,12,18,,10,,67,101,27,,,,,45,,,,7,,,36,,1,,28,,,3,,,,,,9,2,5,,,,,3,,,
,,57,cushion,,,72,,,,4,,17,,,9,,59,29,5,3,,5,,3,,,,10,,,22,,,,,,,1,,,,,,,,2,,,,13,2,,3,
,,58,cushion,,40,,,,,,,,,,,,14,11,6,,,,,,,,,5,,,,,,,,1,,,,,,,,8,,5,,,,9,1,,,
,,59,cushion,,,,,,,5,,,,,,,24,20,3,,,,,,,,,2,,,58,,,,3,,,,,,,,,5,,2,,,,2,6,,,
,,60,cushion,,59,,,9,,,,27,,,,,29,35,4,,,,,14,,,,4,,,32,,,,,,,,,,,,,,,10,,,,7,4,,1,
,,61,cushion,,38,,,,,,,30,,,,,9,40,4,,,,,13,,,,2,,,32,,,,2,,,,,,,,,2,5,4,,,,,,,,
,,62,cushion,,32,,,,,,,50,,,,,20,33,8,,,,,,,,,2,,,5,,,,7,,,,,,,,,9,,3,,,,16,,9,,
,,63,cushion,,,,,,,,,21,,,,,12,45,,,,,,,,,,,,,52,,,,5,2,,,,,,,,22,,5,,,,8,2,1,,
,,64,cushion,3,,,,,,,,20,,,,,27,19,15,,,,,5,,,,4,,,43,,,,,,,,,2,,,,9,,,,,,12,7,,,
,,65,cushion,,,,,,,,,,17,,,,12,11,,12,,5,,,,,,,,,15,,,,,,,2,,,,,,14,1,,,,,,8,,,
,,66,cushion,,,,,,,12,,23,5,1,,,35,19,25,,,,,,,,,3,,,15,,,,9,,,16,,,,3,,,30,,,,,22,3,,,
,,67,cushion,,8,,,,,,,31,,,,,9,,,7,,5,,,,,,,,,,,,,,,,,,,,,,17,3,22,,,,,4,,1,
,,68,cushion,,25,,,,,,,37,12,,,,32,7,,,,,,,,4,,,,,39,,,,,1,,,,,,,,20,,9,,,,15,7,,,
,,69,cushion,,17,,,,,,,10,,,,,25,,,19,,6,,,,,,,,,,,,,,5,,,,,,7,,9,12,1,,,,,,,8,
,,70,cushion,,,24,,,,,,21,12,,9,,140,70,5,,,,,,,,,,,,60,,,,50,,,1,,,,,,7,,,,,4,,2,,,
,,71,cushion,,12,75,,,,,,27,,,,,75,19,7,,,,,12,,,,3,3,,5,,,,,,,,25,4,,,,10,12,,,,5,,,,,
,,72,cushion,,34,11,,,,,,25,,,,,48,14,,,,,17,,,,,,,,15,,,,7,,,1,,,,,,13,,2,,,,,2,,,
,,73,cushion,,,,,,,,,40,,,7,,12,46,3,,,,,,15,,,,,,15,,,,27,,,2,,11,,,,5,2,,,,5,,6,,,
,,74,cushion,,,19,18,,,,2,35,,,5,,30,18,6,,,,,,,,2,5,,,12,,,,,,4,,,,,,,,3,,,,,,3,,,
,,75,cushion,,20,21,,5,,,7,61,,,,,63,18,14,,,9,12,5,,,,3,,,45,,,,,,,,,7,,,,9,3,,,4,,7,4,,6,
,,76,cushion,,34,11,,,,,,25,,,,,48,14,,,,,21,,,,,,,,15,,,,7,,,1,,7,,,,13,,2,,,5,,2,,,
,,77,cushion,,14,13,,,,,1,21,,,11,,17,35,,,,11,,12,,12,3,,3,,14,,,,11,,,,,9,,,17,23,,,,,2,,,2,,
,,78,cushion,,1,3,,,,,,11,,,14,,,,,,,,,,,,,,,,,,,,7,,,,,3,,,1,9,,5,,,1,,,,,25
,,79,cushion,,2,11,,,5,,,18,,,,,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
,,80,cushion,1,,43,,,,,,,,,,,24,11,6,1,,,,,,,,4,,,,,1,,,1,,,,,,,,8,,5,,,,9,,,,
,,81,cushion,4,,,7,,,3,,40,,,7,,12,46,3,,,,,,13,,,,,,11,,,,17,,,2,,11,,,,15,2,,,,5,,6,,,
,,82,cushion,2,58,,,,,7,,82,,,,,45,17,9,,4,,,,3,,,5,3,,13,,,,,,,,,,,,,15,14,,7,2,,,,,,5
,,1,open,,18,7,,,,,,8,,,24,,25,54,,,,,,2,,,,,,,,,,,10,,,,,3,2,,6,28,,,,,,,,,,
,,2,open,,,,,,,,,,,,15,,79,,,,,2,,110,,2,,,,,,,,,26,,,,,17,,,12,59,,,,,7,,,,,
,,3,open,,,,,,,,,,,,,,122,,,,,1,,55,,,,,,,64,,,,40,,,,,5,,,23,40,,,,,1,,,,,
,,4,open,,,,,,,,,,,,1,,79,12,15,57,,1,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,
,,5,open,,14,,,1,,,,58,,,25,,8,13,,41,,,,,,10,,6,,,118,,,,,,,,,2,,,,3,,,,,,,,1,,
,,6,open,,26,,,,,,,5,,,9,,11,4,,,,,,,,,,1,3,,13,,,,22,,,,,9,,,,13,,,,,,,,,,
,,7,open,,,,,,,,,20,,,,,,13,,,,,,,,,,,,,18,,,,18,,,,,5,,,,26,,,,,,,,,,
,,8,open,,9,,,,,,,30,,,9,,89,,,,,,,,,,,,,,4,,,,51,,,,,15,,,17,71,,,,,,,,,2,
,,9,open,,,,,,,,,24,,,5,,14,,,,,,,,,,,,,,,,,,5,,,,58,,,,,2,,,,,,,3,,,
,,10,open,,,3,,,,,16,22,,,45,,71,,,,,,,82,,,,,,,2,,,,71,,,,,11,,,12,43,7,,,,,,7,,,
,,11,open,,,,,,,,,31,,,71,,31,13,,,,,,101,,19,,,,,80,,,,41,,1,,,31,,,,69,,,,,,,4,,1,
,,12,open,,5,,,,,,,6,,,24,,16,6,,,,,,20,,,,3,,,,,,,26,,,,,7,,,3,30,,,,,,,,,4,
,,13,open,,11,,,,,,,2,,,36,,13,,,,,,,,,,,2,,,,,,,17,,,,,7,,,7,11,,,,,,,,,,
,,14,open,,,,,,,,,7,,,13,,7,15,,,,,,13,,,,1,,,,,,,3,,,,,,,,,2,,,,,,,,,2,
,,15,open,,3,4,,,,,,5,,,8,,20,13,,,,,,43,,2,,2,,,11,,,,,,,,,2,,,,17,,,,,,,,,,
,,16,open,,,,,,,,,,,,10,,30,9,6,,,,,36,,,,1,,,1,,,3,19,,,,,1,,,,12,,,,,,,,,1,
,,17,open,,6,,,,,,,29,,,,,50,28,,,,3,,95,,4,,3,2,,29,,,7,,,,,,12,,,,19,,,,,,14,4,6,15,
,,18,open,,32,,,,,,5,,,,3,,18,10,,,,,,,,,,2,,,,,,3,,,,1,,,1,,,2,,,,,1,,,2,1,
,,19,open,,,,,,,,,18,,,11,,42,15,,,,,,23,,,,,1,,,,,,11,,,,,12,7,,,17,,,,1,10,,3,,,
,,20,open,,,,,,,,,30,,,44,,22,12,,,,,,94,,3,1,,,,30,,,,,,,,,16,,,,26,,12,,,7,,7,,,6
,,21,open,,1,23,,,,,1,71,,,15,,14,6,2,,,,,52,,3,,,,,22,,,,30,,1,,,6,,,,17,,,,,,,1,,,
,,22,open,,,31,,,5,,13,22,,,10,,35,18,,,,,,60,,,2,2,5,,,,,,24,,1,,,16,5,,,42,,,,,,,,,,
,,23,open,,,15,,,,,,,,,17,,33,10,,,,,,2,,,,,5,,8,,,,10,,,,,1,,,,50,,,,,,,,,,
,,24,open,,1,5,,,,,,9,,,8,,29,6,,,,,,44,,1,,,,,30,,,,18,2,,,,6,,,,19,,,,,,,,,,
,,25,open,,,,,,,,,3,,,5,,54,21,,,,,,10,,,,2,,,46,,,,,,,,,2,,,4,7,,,,,,,,,,
,,26,open,,30,,,,,,,,,,,,42,14,,,,,,,,,,,,,,,,,,,,,,1,,,,17,,,,,,,,,,
,,27,open,,42,22,,,12,,,20,,,,,15,21,,,,,,73,,,,1,,,,,,,,18,,,,,,,,36,,,,,,,,,1,
,,28,open,,53,14,,,5,4,,27,,,,,11,22,,,,8,,73,,,,,,,,,,,,,34,,,,,,,59,2,,,,,,,,8,
,,29,open,,42,3,,,6,,,14,,,2,,9,6,,,,5,,,,,,,,,5,,,,6,2,,,,,,,,10,,,,,,7,,,,
,,30,open,,20,9,,4,,,,20,,,,,,8,,,,7,,,,,,,,,12,,,,,10,,,,,,,,3,,,,,,17,,,,
,,31,open,,,,,,,,,13,,,,,,,,35,,4,,,,,,,,,,,,,,,,,,,,,33,10,8,14,,,,,,,,
,,32,open,,2,13,,,,,,24,,,,,22,31,,,,8,,,,,,1,,,31,,,,14,,,,,1,,,,19,,,,,,3,,,,
,,33,open,,11,2,,5,,,,20,,,66,,27,16,,,,4,,,,,,,,,39,,,,,6,,,,,,,4,24,,3,,,,9,,,,
,,34,open,,37,,,,,,,15,,,,,5,,,8,,17,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
,,35,open,,38,39,,,,,,23,,,1,,19,19,,,,14,,,,,,,,,22,,,,,3,,,,,,,,26,,,,1,,25,,,,
,,36,open,,10,5,,,,,,6,,,,,14,25,,,,,,,,,,,,,22,,,,,18,,,,,,,,4,,,,,,,,,1,
,,37,open,,,3,,,,,,23,,,,,,,,,,12,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,open,,30,10,,,,,,26,,,,,3,8,,,,9,,,,1,,1,,,,,,,,,,,,,,,,4,,,,1,,,,,,
,,39,open,,21,33,,,,,,18,,,,,3,14,,27,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
,,40,open,,25,8,,,,,,8,,,,19,20,19,,,,9,,,,,,2,15,,,,,,,2,,,,1,,,3,7,,,,1,,7,,,,
,,41,open,,,20,,,,,,7,,,,,31,4,,,,,,,,,,3,12,,,,,,7,2,,,,,,,,9,,,,,,,,,,
,,42,open,,,11,,,,,,8,,,,,13,17,,,,,,,,,,1,,,,,,,9,,,,,,,,,22,1,,,,,,,,5,
,,43,open,,,9,,3,,,,12,,,,,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,6,,,,
,,44,open,,28,6,,,,,,15,,,,,,11,,,,14,,,,,,,,,1,,,,,4,,,,,,,,1,,3,,1,,9,2,2,,
,,45,open,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46,open,,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
,,47,open,,13,,,,,,,,,,,,19,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48,open,,,13,,,,,,16,,,,31,17,,5,,,,,,,,,,,,38,,,,14,,,,,1,,,,18,,,,,,,11,,,
,,49,open,,24,22,,,,,,25,,,,8,35,11,4,,,3,,,,,,,,,11,,,,16,2,,,,1,,,1,15,,6,,,,4,,,2,
,,50,open,,8,32,,,,,,17,,,,,13,15,,,,9,,,,,,,,,19,,,,47,,,,,,,,7,13,,,,,,5,,1,1,
,,51,open,,,6,,,,,,32,,,,28,21,9,,,,,,,,,,,,,13,,,,17,,,,,,,,1,7,,,,1,,3,,,,
,,52,open,,,5,,,,,,19,,,,,25,19,11,,1,,,2,,,,,,,68,,,,,1,,,,,,,,18,,3,,,,,1,,,
,,53,open,,,6,,,,,,22,5,,,,,22,,,,4,,,,,,,,4,11,,,,,,,,,,,,,,,,,,,,,,,
,,54,open,,10,5,,,,,,23,,,,10,5,13,3,,,,,29,,,,,,,16,,,,6,,,,,,,,,5,3,,,,,,,,,
,,55,open,,23,23,,,,,,44,,,,6,18,26,,,,,,106,,,,6,4,23,77,,,,29,,,,,5,,,16,43,,,,1,,6,,,,
,,56,open,,,,,,,,,21,,,21,,76,57,39,58,,,,,,8,,7,,,53,,,,50,2,,,,,,,,68,,,,,,,2,,12,
,,57,open,,33,,,,,,,11,,,6,,53,28,,4,,,,,,,,4,,,57,,,,14,1,,,,,,,,27,,,,,,,1,5,,
,,58,open,,36,,,,,,,6,,,3,,30,8,11,8,,,,9,,2,,2,,,,,,,9,3,,,,,,,,29,,3,,,,,,3,9,
,,59,open,,8,,,,,,,,,,,,41,12,8,,,,,,,,,4,,,,,,,7,9,,,,4,,,,25,,,,,,,2,,,
,,60,open,,,,,,,,,7,,,,,37,28,8,4,,,,55,,,,3,,,40,,,,3,,,31,,,,,,7,,,,,,4,,,,
,,61,open,,50,,,,,,,16,,,,,15,9,3,,,,,48,,,,,,,27,,,,2,,,3,,,,,,5,,7,,,,,1,,1,
,,62,open,,12,,,,,,,17,,,,,,29,5,,,,,,,,,,,,,,,,,,,,,,,,,1,8,3,,,,,,,,
,,63,open,,9,,,,,,,27,,,,,1,11,9,,,,,,,2,,1,,,,,,,,,,,,,,,,,2,2,,,1,,,,,
,,64,open,,,4,,,,,,1,,,,,54,,,160,,,,2,,,,,,,,,,,49,,,,,,,,,9,12,,,,,,5,,3,
,,65,open,,,,,,,,,,,,,,30,,,169,,,,,,,,,,,,,,,22,,,,,,,,,1,,,,,,,3,,3,
,,66,open,,,,,,,,,20,,1,,,,11,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,11,,,,,,,,,
,,67,open,,5,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,,,,,,,,2,,,,,5,1,,,,,,,7,
,,68,open,,,,,,,,,,,,,,60,,,29,,,,,,,,,,,,,,,,,,,,,,,18,9,12,,,,,,2,,,
,,69,open,,4,,,,,,,,,,,,59,,,85,,,,,,,,,,,,,,,5,,,,,,,,,13,,7,,,,,,,12,
,,70,open,,,,,,,,,16,,,,,70,14,14,11,,,,44,,,,,,,34,,,,64,,,5,,,,,5,21,,,,,,,,,4,
,,71,open,,11,26,,,,,,23,,,,,72,15,6,,,6,,4,,,,1,,,39,,,,35,,,23,17,4,,,,9,,,,2,,,,,,
,,72,open,,,,,,,,,30,,,,,40,21,5,10,,,,1,,,,,,,29,,,,5,,,2,,2,,,,3,,,,,3,,4,,,
,,73,open,,,,,,,,,11,,,3,,56,,9,20,,,,,,,,1,,,2,,,,7,,,3,,7,,,,19,,,,,,,13,,,
,,74,open,,1,,9,,,,,6,,,4,,30,13,5,7,,,,,,,,3,,,15,,,,17,,,2,,,,,,7,,,,,,,,,,
,,75,open,,9,,,,,,,70,,,30,,63,24,2,15,,2,,,,,,2,,,47,2,,,1,,,,28,6,,,29,2,,,,,,,5,,3,
,,76,open,,,,,,,,,18,,,,,40,21,5,5,,,,1,,,,,,,29,,,,5,,,2,,2,,,,3,,,,,2,,4,,,
,,77,open,,8,7,,,,,,6,,,18,,25,54,,,,,,2,,,,,,,,,,,10,,,,,3,2,,6,28,,,,,,,,,,
,,78,open,,,,,,,,,14,,,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,2,,,,,,,3,,,
,,79,open,,9,,,,,,,,,,,,19,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,80,open,,,39,,,,,,4,,,3,,35,8,9,8,,,,8,,2,,2,,,,,,,11,3,,,,,2,,,21,,3,,,,,,3,9,
,,81,open,,,,,,,,,11,,,3,,56,,9,20,,,,,,,,1,,,2,,,,7,,,3,,7,,,,19,,,,,,,13,,,
,,82,open,,,,,,,,,,,,1,,89,12,15,47,,1,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,
