Site084,Rhodiola_juparensis,sample,cushion.open,Androsace_tapete,Aster_alpinus,Astragalus_suleatus,Barbarea_orthoceras,Capsella_bursa_pastoris,Carex_stenophylloides,Comastoma_pulmonarium,Elymus_nutans,Festuca_ovina,Leontopodium_nanum,Pedicularis_pilostachya,Poa_pratensis,Potentilla_sericea,Saussurea_gnaphalodes
,,14,open,,,,1,,,,,,,,,,2
,,15,open,3,6,,3,,,,,,,,,,3
,,16,open,,,,4,,,,,,,,2,,2
,,17,open,2,,,,,,,,,,,4,,
,,18,open,1,15,,6,,,,,,,,,,
,,19,open,1,2,,5,,,,,,,,,,3
,,20,open,3,,,3,,,,,,,,1,,49
,,21,open,2,,,22,,,,,,,,,,19
,,22,open,2,4,,18,,,,,,,,,,26
,,23,open,3,19,,6,,,,,,,,,,15
,,24,open,1,3,,53,,,,,,,,1,,2
,,25,open,1,,,9,,,,,,,,,,5
,,26,open,,,,1,,,,,,,,6,,16
,,27,open,,,,20,1,,,,,,,2,,10
,,28,open,1,,,17,,,,,,10,,2,,12
,,29,open,2,,,15,,,,,,12,,,,14
,,30,open,,,,20,,,,,,,,1,,14
,,31,open,,,,12,,,,,,,,,,20
,,32,open,2,,,18,,,,,,,,,,35
,,33,open,,21,,15,,,,,,,,,,8
,,34,open,1,1,,58,,,,,,8,,,,29
,,35,open,,,,29,,,,,,,,2,,10
,,36,open,,,,11,,,,,,,,1,,18
,,37,open,,49,,36,,,,,,,,1,,
,,38,open,2,,,8,,,,,,,,,,59
,,39,open,2,3,,6,,,,,,,,,1,33
,,40,open,,20,,24,,,,,,,,,,10
,,41,open,2,,,9,,,,,,,,,,54
,,42,open,,,,9,,,,,,2,,,,46
,,43,open,2,,,11,,,,,,,,2,,57
,,44,open,2,,,8,7,,,,,,,1,,96
,,45,open,,,,11,,,,,,,,,,14
,,46,open,3,,,6,,,,,,,,,,31
,,47,open,2,10,,6,,,,,,,,,,6
,,48,open,2,10,,6,,,,,,,,,,6
,,49,open,2,,,13,,,,,,,,,,3
,,50,open,1,26,,35,2,,,,,,,,,40
,,51,open,,,,10,,,,,,1,,,,18
,,52,open,,11,,17,,,,,,,,1,,7
,,53,open,1,,,2,,,,,,,,1,,13
,,54,open,3,122,,27,3,,,,,2,,2,,
,,55,open,1,,,10,,,,,,,,,,85
,,56,open,3,,,4,,,,,,5,,,,75
,,57,open,2,,,15,,,,,,,,,,66
,,58,open,2,,,2,,,,,,,,1,,25
,,59,open,3,,1,7,,,,,,2,,,,14
,,60,open,,,,3,,,,,,,,,,26
,,61,open,,,,1,,,,,,,,,,14
,,62,open,,,,9,,,,,,,,,,23
,,63,open,2,,,2,,,,,,,,,,3
,,64,open,,,,7,,,1,,,1,,,,8
,,65,open,,,,5,1,,,,,,,1,,12
,,66,open,,1,,1,,,,,,,,,,9
,,67,open,,2,,,,,,,,,,,,18
,,68,open,,,,1,2,,,,,,,,,31
,,69,open,3,,,,,,1,,,1,,2,,12
,,70,open,2,,,1,1,,,,,1,,,,15
