Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Polygonum viviparum,Saxifraga oppositifolia,Sedge (sp),Salix polaris
50,"Ny-Ålesund","Silene acaulis",34,"open",,,6,4,0,0
50,"Ny-Ålesund","Silene acaulis",35,"cushion",14,14,4,0,0,2
50,"Ny-Ålesund","Silene acaulis",36,"open",,,1,3,0,8
50,"Ny-Ålesund","Silene acaulis",37,"cushion",19,22,5,0,2,4
50,"Ny-Ålesund","Silene acaulis",38,"open",,,7,1,0,6
50,"Ny-Ålesund","Silene acaulis",39,"cushion",10,11,1,0,0,0
50,"Ny-Ålesund","Silene acaulis",40,"open",,,4,5,0,0
50,"Ny-Ålesund","Silene acaulis",41,"cushion",33,16,6,0,0,9
50,"Ny-Ålesund","Silene acaulis",42,"open",,,14,5,0,5
50,"Ny-Ålesund","Silene acaulis",44,"open",,,5,6,0,2
50,"Ny-Ålesund","Silene acaulis",45,"cushion",44,11,1,0,0,5
50,"Ny-Ålesund","Silene acaulis",46,"open",,,0,2,0,0
50,"Ny-Ålesund","Silene acaulis",47,"cushion",17,16,3,0,0,0
50,"Ny-Ålesund","Silene acaulis",48,"open",,,5,5,0,0
50,"Ny-Ålesund","Silene acaulis",49,"cushion",11,11,5,0,0,1
50,"Ny-Ålesund","Silene acaulis",50,"open",,,4,4,0,0
50,"Ny-Ålesund","Silene acaulis",51,"cushion",16,15,1,0,0,0
50,"Ny-Ålesund","Silene acaulis",52,"open",,,2,0,0,3
50,"Ny-Ålesund","Silene acaulis",53,"cushion",12,15,2,0,0,0
50,"Ny-Ålesund","Silene acaulis",54,"open",,,0,0,0,1
50,"Ny-Ålesund","Silene acaulis",55,"cushion",17,13,1,4,0,0
50,"Ny-Ålesund","Silene acaulis",56,"open",,,1,0,0,0
50,"Ny-Ålesund","Silene acaulis",57,"cushion",14,16,0,4,0,6
50,"Ny-Ålesund","Silene acaulis",58,"open",,,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",59,"cushion",13,13,1,0,0,2
50,"Ny-Ålesund","Silene acaulis",60,"open",,,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",61,"cushion",9,11,1,0,0,0
50,"Ny-Ålesund","Silene acaulis",62,"open",,,0,1,0,0
50,"Ny-Ålesund","Silene acaulis",63,"cushion",14,12,3,0,0,0
50,"Ny-Ålesund","Silene acaulis",64,"open",,,1,1,0,0
50,"Ny-Ålesund","Silene acaulis",65,"cushion",17,16,5,0,0,0
50,"Ny-Ålesund","Silene acaulis",66,"open",,,4,4,0,0
50,"Ny-Ålesund","Silene acaulis",67,"cushion",12,12,0,1,0,2
50,"Ny-Ålesund","Silene acaulis",68,"open",,,0,4,0,0
50,"Ny-Ålesund","Silene acaulis",69,"cushion",22,19,6,0,0,0
50,"Ny-Ålesund","Silene acaulis",70,"open",,,5,4,2,0
50,"Ny-Ålesund","Silene acaulis",72,"open",,,5,4,0,0
50,"Ny-Ålesund","Silene acaulis",73,"cushion",29,24,5,0,0,0
50,"Ny-Ålesund","Silene acaulis",74,"open",,,1,2,0,0
50,"Ny-Ålesund","Silene acaulis",75,"cushion",13,11,2,0,0,0
50,"Ny-Ålesund","Silene acaulis",76,"open",,,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",77,"cushion",15,14,3,0,0,0
50,"Ny-Ålesund","Silene acaulis",78,"open",,,1,1,0,0
50,"Ny-Ålesund","Silene acaulis",79,"cushion",15,15,7,0,0,0
50,"Ny-Ålesund","Silene acaulis",80,"open",,,8,14,0,7
50,"Ny-Ålesund","Silene acaulis",81,"cushion",20,25,5,0,0,6
50,"Ny-Ålesund","Silene acaulis",82,"open",,,1,3,0,3
50,"Ny-Ålesund","Silene acaulis",83,"cushion",12,14,6,1,0,0
50,"Ny-Ålesund","Silene acaulis",84,"open",,,4,10,0,3
50,"Ny-Ålesund","Silene acaulis",85,"cushion",11,11,1,0,0,0
50,"Ny-Ålesund","Silene acaulis",86,"open",,,3,0,0,0
50,"Ny-Ålesund","Silene acaulis",87,"cushion",21,12,4,2,0,3
50,"Ny-Ålesund","Silene acaulis",88,"open",,,5,1,0,0
50,"Ny-Ålesund","Silene acaulis",89,"cushion",7,8,1,0,0,0
50,"Ny-Ålesund","Silene acaulis",90,"open",,,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",91,"cushion",14,12,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",92,"open",,,4,0,0,2
50,"Ny-Ålesund","Silene acaulis",93,"cushion",16,11,9,1,0,0
50,"Ny-Ålesund","Silene acaulis",94,"open",,,0,4,0,0
50,"Ny-Ålesund","Silene acaulis",95,"cushion",15,13,5,0,0,7
50,"Ny-Ålesund","Silene acaulis",96,"open",,,3,3,0,1
50,"Ny-Ålesund","Silene acaulis",97,"cushion",20,18,14,3,0,15
50,"Ny-Ålesund","Silene acaulis",98,"open",,,3,7,0,1
50,"Ny-Ålesund","Silene acaulis",99,"cushion",21,17,7,0,0,4
50,"Ny-Ålesund","Silene acaulis",100,"open",,,11,3,0,0
50,"Ny-Ålesund","Silene acaulis",102,"open",,,4,1,0,1
50,"Ny-Ålesund","Silene acaulis",103,"cushion",16,12,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",104,"open",,,0,2,0,0
50,"Ny-Ålesund","Silene acaulis",105,"cushion",22,20,5,0,0,1
50,"Ny-Ålesund","Silene acaulis",106,"open",,,7,4,0,0
50,"Ny-Ålesund","Silene acaulis",107,"cushion",17,18,6,0,0,3
50,"Ny-Ålesund","Silene acaulis",108,"open",,,2,3,0,0
50,"Ny-Ålesund","Silene acaulis",109,"cushion",10,13,2,3,0,1
50,"Ny-Ålesund","Silene acaulis",110,"open",,,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",111,"cushion",17,17,0,4,0,0
50,"Ny-Ålesund","Silene acaulis",112,"open",,,0,5,0,6
50,"Ny-Ålesund","Silene acaulis",113,"cushion",14,13,0,5,0,0
50,"Ny-Ålesund","Silene acaulis",114,"open",,,0,0,0,4
50,"Ny-Ålesund","Silene acaulis",115,"cushion",12,12,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",116,"open",,,0,5,0,3
50,"Ny-Ålesund","Silene acaulis",117,"cushion",18,23,4,0,0,25
50,"Ny-Ålesund","Silene acaulis",118,"open",,,6,3,0,0
50,"Ny-Ålesund","Silene acaulis",119,"cushion",20,18,0,1,0,0
50,"Ny-Ålesund","Silene acaulis",120,"open",,,0,0,0,8
50,"Ny-Ålesund","Silene acaulis",121,"cushion",12,11,2,0,0,0
50,"Ny-Ålesund","Silene acaulis",122,"open",,,1,1,0,0
50,"Ny-Ålesund","Silene acaulis",123,"cushion",16,17,1,1,0,0
50,"Ny-Ålesund","Silene acaulis",124,"open",,,5,4,3,2
50,"Ny-Ålesund","Silene acaulis",125,"cushion",,,,,,
50,"Ny-Ålesund","Silene acaulis",126,"open",,,,,,
50,"Ny-Ålesund","Silene acaulis",127,"cushion",16,17,5,3,0,7
50,"Ny-Ålesund","Silene acaulis",128,"open",,,4,8,0,1
50,"Ny-Ålesund","Silene acaulis",130,"open",,,7,0,0,0
50,"Ny-Ålesund","Silene acaulis",131,"cushion",17,13,3,4,0,0
50,"Ny-Ålesund","Silene acaulis",132,"open",,,4,0,0,2
50,"Ny-Ålesund","Silene acaulis",133,"cushion",17,15,2,0,0,0
50,"Ny-Ålesund","Silene acaulis",134,"open",,,1,0,0,1
50,"Ny-Ålesund","Silene acaulis",135,"cushion",15,18,3,0,0,0
50,"Ny-Ålesund","Silene acaulis",136,"open",,,1,1,0,3
50,"Ny-Ålesund","Silene acaulis",137,"cushion",9,10,2,0,0,0
50,"Ny-Ålesund","Silene acaulis",138,"open",,,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",139,"cushion",16,15,1,0,0,0
50,"Ny-Ålesund","Silene acaulis",140,"open",,,2,0,1,0
50,"Ny-Ålesund","Silene acaulis",141,"cushion",13,13,2,0,0,1
50,"Ny-Ålesund","Silene acaulis",142,"open",,,2,4,0,0
50,"Ny-Ålesund","Silene acaulis",143,"cushion",19,14,3,0,0,4
50,"Ny-Ålesund","Silene acaulis",144,"open",,,2,0,1,6
50,"Ny-Ålesund","Silene acaulis",145,"cushion",15,15,12,0,0,3
50,"Ny-Ålesund","Silene acaulis",146,"open",,,4,3,0,0
50,"Ny-Ålesund","Silene acaulis",147,"cushion",12,13,1,1,0,0
50,"Ny-Ålesund","Silene acaulis",148,"open",,,3,0,0,5
50,"Ny-Ålesund","Silene acaulis",13,"cushion",15,10,7,0,0,0
50,"Ny-Ålesund","Silene acaulis",43,"cushion",16,17,0,0,0,21
50,"Ny-Ålesund","Silene acaulis",71,"cushion",21,12,4,0,0,10
50,"Ny-Ålesund","Silene acaulis",101,"cushion",16,14,1,2,0,0
50,"Ny-Ålesund","Silene acaulis",129,"cushion",16,16,5,0,0,0
