"site","cushion species","sample","cushion/open","diam1 (cm)","diam2 (cm)","Acantholimon","Alyssum","Annuelle sche","Apiacees","Bromus","Caryophyllaces","Centaurea","Cerastium","Chardon gris","Crepis","Festuca","Galium","Lactuca","Leontodon","Leuzea","Liliacees","Linaria","Marrubium","Prunus","Ranunculacees","Scrophulariacees","Senecio","Senecio dents","Taraxacum","Tulipa","Viola","dataset code"
"Lebanon","Astragalus zachlensis",59,"cushion",120,115,0,38,0,0,50,0,3,0,0,10,65,70,0,0,0,0,0,0,0,0,1,0,0,12,0,0,45
"Lebanon","Astragalus zachlensis",60,"cushion",135,110,0,0,0,15,95,0,0,0,0,0,5,0,0,1,0,1,0,20,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",8,"open",32,25,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",9,"open",30,28,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",10,"open",30,28,0,8,0,2,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",11,"open",35,30,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",12,"open",33,32,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",13,"open",34,32,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",14,"open",35,32,0,0,0,0,0,0,28,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",15,"open",38,30,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",16,"open",35,33,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",17,"open",38,32,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",18,"open",38,32,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",19,"open",40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",20,"open",40,35,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",28,"open",45,40,0,0,0,0,15,0,0,6,0,0,0,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",29,"open",43,43,0,4,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",30,"open",48,40,0,0,0,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,45
"Lebanon","Astragalus zachlensis",31,"open",50,40,1,0,0,4,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,45
"Lebanon","Astragalus zachlensis",32,"open",50,40,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45
"Lebanon","Astragalus zachlensis",33,"open",45,45,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",34,"open",53,42,0,10,0,8,7,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",35,"open",54,45,0,5,0,0,8,2,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,1,0,0,45
"Lebanon","Astragalus zachlensis",36,"open",55,50,0,8,0,4,5,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",37,"open",55,50,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",38,"open",60,50,0,3,0,1,12,0,5,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",39,"open",60,55,0,0,0,4,35,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",40,"open",110,30,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",48,"open",75,72,0,0,0,10,5,0,0,3,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",49,"open",85,70,0,0,0,5,8,0,8,8,0,0,10,20,0,0,0,0,0,6,0,0,1,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",50,"open",80,75,0,10,1,15,0,0,8,7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",51,"open",83,74,0,0,1,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",52,"open",82,75,0,3,0,6,3,0,0,3,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",53,"open",90,77,0,0,0,3,40,0,19,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,45
"Lebanon","Astragalus zachlensis",54,"open",90,80,0,20,0,10,50,0,0,10,0,0,8,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",55,"open",100,95,0,10,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,4,0,45
"Lebanon","Astragalus zachlensis",56,"open",120,85,1,1,0,0,30,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,45
"Lebanon","Astragalus zachlensis",57,"open",110,100,0,0,0,7,1,0,0,3,1,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",58,"open",105,105,0,0,0,0,1,0,2,1,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,45
"Lebanon","Astragalus zachlensis",59,"open",120,115,0,0,0,8,70,0,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,45
"Lebanon","Astragalus zachlensis",60,"open",135,110,0,0,0,10,8,0,1,20,4,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,45
