site,cushion sp,cushion/open,sample,dimen1,dimen2,mean diameter,area,Ajania tenuifolia (Jacq) Tzvel,Arenaria kansuensis Maxim,Aster alpinus L,Astragalus Polycladus Bur Et Franch,Astragalus Tanguticus Batalin,Comastoma pulmonarium(Turez) Toyohuni,Draba altaica (C A Mey) Bunge,Koeleria litwinowii Domin,Poa poiphagorum Ber,Poa sibirica Roshev,Potentilla sericea L,Rhodiola kirilowii (Regel) Maxim,Saussurea gnaphalodes (Royle) Sch-Bip,Soroseris erysimoides (Hand-Mazz) Shih,Leontopodium nanum(HookfetThoms)HandMazz,dataset code
"China","Arenaria","cushion",45,23,22,22.5,397.40625,,"",2,,,,"",,,,"",,,"",2,49
"China","Arenaria","open",45,23,22,22.5,397.40625,,"",,,,,"",,1,2,"1",,,"",1,49
"China","Arenaria","cushion",46,33,24,28.5,637.61625,,"",,,,,"",,,,"",,,"",16,49
"China","Arenaria","cushion",63,31,32,31.5,778.91625,,"",,,,,"",,13,,"",,60,"",,49
"China","Arenaria","open",63,31,32,31.5,778.91625,,"",,,,,"",,2,,"",,17,"",,49
"China","Arenaria","cushion",64,71,52,61.5,2969.06625,,"",,,47,,"",,,48,"",,,"",3,49
"China","Arenaria","open",64,71,52,61.5,2969.06625,,"",118,1,,,"",,6,,"50",1,,"3",50,49
"China","Arenaria","cushion",65,28,30,29,660.185,,"",9,,18,,"5",,,8,"",,,"",3,49
"China","Arenaria","open",65,28,30,29,660.185,,"",12,,,,"",,,3,"",,,"",16,49
"China","Arenaria","cushion",73,22,24,23,415.265,,"",,,,,"",,,1,"",,,"",18,49
"China","Arenaria","open",73,22,24,23,415.265,,"",,,,,"",,,1,"",,,"",28,49
"China","Arenaria","cushion",74,36,30,33,854.865,,"",5,,,3,"",1,14,,"",,,"",,49
"China","Arenaria","open",74,36,30,33,854.865,,"",,,,1,"",4,,8,"",,,"",47,49
"China","Arenaria","cushion",75,43,23,33,854.865,,"",,,1,,"",,,3,"",,,"",20,49
"China","Arenaria","open",75,43,23,33,854.865,,"",,,,,"",,,1,"",,,"",39,49
"China","Arenaria","cushion",76,31,35,33,854.865,,"",19,,53,,"3",,,6,"",,,"",,49
"China","Arenaria","open",76,31,35,33,854.865,,"",,,27,,"",,,1,"",,,"",43,49
"China","Arenaria","cushion",77,31,21,26,530.66,,"",,,15,,"",,,1,"",,,"",26,49
"China","Arenaria","open",77,31,21,26,530.66,,"",,,7,,"",,,,"",,,"",29,49
"China","Arenaria","cushion",78,38,42,40,1256,,"",,,,,"",,,7,"",,,"",104,49
"China","Arenaria","open",78,38,42,40,1256,,"",,,,,"2",,,5,"",,,"",139,49
"China","Arenaria","cushion",79,39,43,41,1319.585,,"",12,,22,,"",,,1,"",,,"",4,49
"China","Arenaria","open",79,39,43,41,1319.585,,"",26,2,5,,"1",,,4,"",,,"",65,49
"China","Arenaria","cushion",80,65,48,56.5,2505.91625,,"",13,,2,,"",,,,"1",,,"17",1,49
"China","Arenaria","open",80,65,48,56.5,2505.91625,,"",6,,2,,"",,,3,"",,,"",122,49
"China","Arenaria","cushion",1,28,35,31.5,778.91625,,"",,,,,"",,,7,"",,,"",,49
"China","Arenaria","open",1,28,35,31.5,778.91625,,"",,,,,"",2,,4,"",,11,"",,49
"China","Arenaria","cushion",2,38,42,40,1256,,"",,,,,"",,,4,"",,4,"",,49
"China","Arenaria","open",2,38,42,40,1256,,"",12,,,,"",,,2,"",,,"",,49
"China","Arenaria","cushion",3,46,33,39.5,1224.79625,,"",,,,,"",,,10,"",,11,"",,49
"China","Arenaria","open",3,46,33,39.5,1224.79625,,"",2,,,,"",1,4,3,"",,,"",,49
"China","Arenaria","open",4,40,50,45,1589.625,,"",25,,,1,"",5,,,"",,,"",,49
"China","Arenaria","cushion",5,26,25,25.5,510.44625,,"",9,,,1,"",,10,,"",,,"",10,49
"China","Arenaria","open",5,26,25,25.5,510.44625,,"",21,,,1,"",4,,3,"",1,,"",21,49
"China","Arenaria","cushion",6,75,40,57.5,2595.40625,,"",,,4,,"",,,,"",,,"",,49
"China","Arenaria","open",6,75,40,57.5,2595.40625,,"",,,,,"",1,,,"",,14,"",,49
"China","Arenaria","cushion",7,49,36,42.5,1417.90625,1,"",,,,,"",,,10,"",,,"",,49
"China","Arenaria","open",7,49,36,42.5,1417.90625,,"",,,,,"",1,,,"",,3,"",,49
"China","Arenaria","cushion",8,31,26,28.5,637.61625,,"",,,,,"",,,4,"",,,"",,49
"China","Arenaria","open",8,31,26,28.5,637.61625,,"",,1,,,"",1,,,"",,,"",,49
"China","Arenaria","cushion",9,31,21,26,530.66,,"",,,,,"",,,3,"",,,"",,49
"China","Arenaria","open",9,31,21,26,530.66,,"",,,,,"",,,,"",,2,"",,49
"China","Arenaria","cushion",10,28,23,25.5,510.44625,,"",,,,,"",,,2,"",,,"",,49
"China","Arenaria","open",10,28,23,25.5,510.44625,1,"",,,,,"",5,,,"",,1,"",,49
"China","Arenaria","cushion",11,38,30,34,907.46,,"",,,,,"",,,4,"",,1,"",1,49
"China","Arenaria","open",11,38,30,34,907.46,1,"",,,,,"",,,,"",,1,"",,49
"China","Arenaria","cushion",12,56,40,48,1808.64,,"",,,,2,"",,,18,"",,28,"",,49
"China","Arenaria","open",12,56,40,48,1808.64,,"",,,,,"",1,,3,"",,,"",7,49
"China","Arenaria","cushion",13,30,33,31.5,778.91625,,"",,,8,,"",,,8,"",,,"",,49
"China","Arenaria","open",13,30,33,31.5,778.91625,,"",,,,,"",,,,"",,2,"",,49
"China","Arenaria","cushion",14,47,24,35.5,989.29625,,"",,,5,,"",,,3,"",,,"",8,49
"China","Arenaria","open",14,47,24,35.5,989.29625,,"",,,,,"",,,2,"",,6,"",21,49
"China","Arenaria","cushion",15,33,28,30.5,730.24625,,"",,,,,"",,,9,"",,,"",,49
"China","Arenaria","open",15,33,28,30.5,730.24625,,"",,,,,"",,,1,"",,2,"",,49
"China","Arenaria","cushion",16,35,27,31,754.385,,"",,,,,"",,,,"",,,"",53,49
"China","Arenaria","open",16,35,27,31,754.385,,"",,,,,"",,,1,"",,1,"",25,49
"China","Arenaria","cushion",17,46,36,41,1319.585,,"",,,,4,"",,,21,"",,2,"",1,49
"China","Arenaria","open",17,46,36,41,1319.585,,"",,,,,"",,,2,"",,24,"",,49
"China","Arenaria","cushion",18,25,27,26,530.66,,"",,,,,"",,,,"",,8,"",1,49
"China","Arenaria","open",18,25,27,26,530.66,,"",,,,,"",,,2,"",,,"",,49
"China","Arenaria","cushion",19,26,27,26.5,551.26625,,"",,,,,"",,,5,"",,,"",22,49
"China","Arenaria","open",19,26,27,26.5,551.26625,,"",4,,,,"",2,,,"",,,"",,49
"China","Arenaria","cushion",20,54,39,46.5,1697.36625,,"",,,,,"",,,,"",,,"",1,49
"China","Arenaria","open",20,54,39,46.5,1697.36625,,"",,,,,"",,,,"",,3,"",,49
"China","Arenaria","cushion",21,60,55,57.5,2595.40625,,"",,,,,"",,,5,"",,2,"",,49
"China","Arenaria","open",21,60,55,57.5,2595.40625,,"",,,,,"",,,,"",,,"",,49
"China","Arenaria","cushion",22,53,42,47.5,1771.15625,,"",30,,,,"",,48,2,"",,,"",,49
"China","Arenaria","open",22,53,42,47.5,1771.15625,,"",,,,,"",2,,2,"",,2,"",,49
"China","Arenaria","cushion",23,53,61,57,2550.465,,"",30,,,,"",,,,"",,,"",,49
"China","Arenaria","open",23,53,61,57,2550.465,,"2",16,,,,"1",,5,1,"",1,,"",1,49
"China","Arenaria","cushion",24,45,40,42.5,1417.90625,,"",,,,,"",,,47,"",,,"",,49
"China","Arenaria","open",24,45,40,42.5,1417.90625,,"",14,,,,"",3,,4,"",,,"",,49
"China","Arenaria","cushion",25,51,40,45.5,1625.14625,,"",,,,,"",,,,"",,4,"",,49
"China","Arenaria","open",25,51,40,45.5,1625.14625,,"",,,,,"",,,,"",,,"",,49
"China","Arenaria","cushion",26,29,21,25,490.625,,"",,,,,"",,,1,"",,,"",1,49
"China","Arenaria","open",26,29,21,25,490.625,,"",,,,,"",1,,2,"",,,"",,49
"China","Arenaria","cushion",27,30,27,28.5,637.61625,,"",,,,,"",,19,,"",,,"",,49
"China","Arenaria","open",27,30,27,28.5,637.61625,,"",2,,,,"2",,,,"",,,"",,49
"China","Arenaria","cushion",28,66,43,54.5,2331.64625,,"",8,,,,"",,,3,"",,,"",,49
"China","Arenaria","open",28,66,43,54.5,2331.64625,,"",4,,,,"",,,,"",,,"",,49
"China","Arenaria","cushion",29,40,44,42,1384.74,,"",18,,,,"",,,2,"",,,"",,49
"China","Arenaria","open",29,40,44,42,1384.74,,"",,,,,"",,,,"",,,"",,49
"China","Arenaria","cushion",30,60,47,53.5,2246.86625,,"",,,,,"4",12,,1,"",,,"",,49
"China","Arenaria","open",30,60,47,53.5,2246.86625,,"",61,,,3,"",5,1,8,"",,,"",,49
"China","Arenaria","cushion",31,33,27,30,706.5,,"",,,4,2,"",,43,8,"",,,"",,49
"China","Arenaria","open",31,33,27,30,706.5,,"",,,,1,"",,,7,"",,,"",,49
"China","Arenaria","cushion",32,32,30,31,754.385,,"",1,,,,"",,,3,"",,,"",,49
"China","Arenaria","open",37,24,22,23,415.265,,"",,,2,,"",,,,"",,,"",33,49
"China","Arenaria","cushion",38,28,25,26.5,551.26625,,"",,,,,"",,,,"",,13,"",26,49
"China","Arenaria","open",38,28,25,26.5,551.26625,,"",,,,,"",,1,,"",,,"",32,49
"China","Arenaria","cushion",39,31,25,28,615.44,,"",,,,,"",,6,,"",,,"",12,49
"China","Arenaria","open",39,31,25,28,615.44,,"",,,,,"",,,2,"6",,,"1",6,49
"China","Arenaria","cushion",40,40,31,35.5,989.29625,,"",,,,,"",,4,,"",,,"",12,49
"China","Arenaria","open",40,40,31,35.5,989.29625,,"",,,1,,"",,2,,"",,,"2",,49
"China","Arenaria","cushion",41,40,40,40,1256,,"",,,,,"",,,,"",,,"",4,49
"China","Arenaria","open",41,40,40,40,1256,,"",,,,,"3",,5,,"",,,"1",,49
"China","Arenaria","cushion",42,40,32,36,1017.36,,"",,,12,,"",,17,,"",,,"",12,49
"China","Arenaria","open",46,33,24,28.5,637.61625,,"",,,,,"",,,2,"",,,"",28,49
"China","Arenaria","cushion",47,44,33,38.5,1163.56625,,"",,,,,"",,,10,"",,,"",26,49
"China","Arenaria","open",47,44,33,38.5,1163.56625,,"",,,,,"",,,9,"",,,"",19,49
"China","Arenaria","cushion",48,29,28,28.5,637.61625,,"",4,,,,"",,,6,"15",,,"2",15,49
"China","Arenaria","open",48,29,28,28.5,637.61625,,"",2,,,,"",,,1,"29",,,"1",29,49
"China","Arenaria","cushion",49,27,26,26.5,551.26625,,"",,,,,"",,,11,"",,,"",14,49
"China","Arenaria","open",49,27,26,26.5,551.26625,,"",3,,1,,"",,1,,"",,,"",45,49
"China","Arenaria","cushion",50,24,25,24.5,471.19625,,"",,,,,"",,,13,"",,,"",,49
"China","Arenaria","open",50,24,25,24.5,471.19625,,"",,,,,"",,,3,"",,,"",,49
"China","Arenaria","cushion",51,28,29,28.5,637.61625,,"",,,,,"",,11,,"",,,"",1,49
"China","Arenaria","open",51,28,29,28.5,637.61625,,"",,,,,"",,,,"",,,"",15,49
"China","Arenaria","cushion",52,36,35,35.5,989.29625,,"",,,,,"",,4,10,"",,,"",,49
"China","Arenaria","open",52,36,35,35.5,989.29625,,"",,,,,"",,10,,"",,,"",35,49
"China","Arenaria","cushion",53,40,34,37,1074.665,,"",8,,,,"1",,1,4,"6",,,"2",6,49
"China","Arenaria","open",53,40,34,37,1074.665,,"",,,,,"2",,,14,"",,,"",,49
"China","Arenaria","cushion",54,21,19,20,314,,"",,,,,"",,,15,"",,,"",5,49
"China","Arenaria","open",54,21,19,20,314,,"",,,,,"",,,,"",,,"",4,49
"China","Arenaria","cushion",55,30,24,27,572.265,,"",,,,,"",,11,,"",,,"",,49
"China","Arenaria","open",55,30,24,27,572.265,,"",,,,,"",,,,"",,,"",19,49
"China","Arenaria","cushion",56,33,36,34.5,934.34625,,"",,,,,"",,,,"",,,"",140,49
"China","Arenaria","open",56,33,36,34.5,934.34625,,"",,,,,"",,,,"",,,"",216,49
"China","Arenaria","cushion",57,51,32,41.5,1351.96625,,"",,,,,"",,,1,"",,,"",40,49
"China","Arenaria","open",57,51,32,41.5,1351.96625,,"",,,,,"",,,,"",,,"",69,49
"China","Arenaria","cushion",58,21,21,21,346.185,,"",,,,,"",,,2,"",,,"",7,49
"China","Arenaria","open",58,21,21,21,346.185,,"",,,,,"",,,,"",,,"",15,49
"China","Arenaria","cushion",59,20,21,20.5,329.89625,,"",,,,,"",,,,"",,,"",16,49
"China","Arenaria","open",59,20,21,20.5,329.89625,,"",,,,,"",,,1,"",,,"",16,49
"China","Arenaria","cushion",60,32,42,37,1074.665,,"",,,,,"",,2,17,"",,,"",15,49
"China","Arenaria","open",60,32,42,37,1074.665,,"",,,,,"7",,2,,"",,,"",79,49
"China","Arenaria","cushion",61,38,38,38,1133.54,,"",,,7,,"",,,6,"",,44,"",6,49
"China","Arenaria","open",61,38,38,38,1133.54,,"",,,,,"",,,3,"",,9,"",77,49
"China","Arenaria","cushion",62,33,40,36.5,1045.81625,,"",,,,,"",,6,3,"",,,"",60,49
"China","Arenaria","open",62,33,40,36.5,1045.81625,,"",,,,,"",,,8,"",,,"",36,49
"China","Arenaria","cushion",66,23,25,24,452.16,,"",8,,1,,"",,,3,"",,,"",,49
"China","Arenaria","open",66,23,25,24,452.16,,"",8,,1,,"13",,,1,"6",,,"",6,49
"China","Arenaria","cushion",67,45,27,36,1017.36,,"",3,,,,"",,,5,"",,,"",20,49
"China","Arenaria","open",67,45,27,36,1017.36,,"",,,1,,"",,,2,"",,,"2",,49
"China","Arenaria","cushion",68,34,25,29.5,683.14625,,"",5,3,2,,"1",,,,"",,,"",6,49
"China","Arenaria","open",68,34,25,29.5,683.14625,,"",10,,1,,"",,,,"16",,,"3",16,49
"China","Arenaria","cushion",69,37,21,29,660.185,,"",,,,,"",,,2,"",,,"",,49
"China","Arenaria","open",69,37,21,29,660.185,,"",,,,,"",,,1,"7",,,"2",7,49
"China","Arenaria","cushion",70,24,26,25,490.625,,"",6,,6,,"3",,,4,"",,,"",8,49
"China","Arenaria","open",70,24,26,25,490.625,,"",,,,,"",,,,"",,,"",48,49
"China","Arenaria","cushion",71,28,27,27.5,593.65625,,"",3,,,,"",,,8,"",,,"",23,49
"China","Arenaria","open",71,28,27,27.5,593.65625,,"",2,,,,"",,,1,"",1,,"4",,49
"China","Arenaria","cushion",72,35,28,31.5,778.91625,,"",3,,,,"",,,1,"13",,,"4",13,49
"China","Arenaria","open",72,35,28,31.5,778.91625,,"",,,3,,"1",,,2,"",,,"",12,49
